"(function(i,s,o,g,r,a,m){i['GoogleAnalyticsObject']=r;i[r]=i[r]||function(){ (i[r].q=i[r].q||[]).push(arguments)},i[r].l=1*new Date();a=s.createElement(o), m=s.getElementsByTagName(o)[0];a.async=1;a.src=g;m.parentNode.insertBefore(a,m) })(window,document,'script','//www.google-analytics.com/analytics.js','ga'); ga('create', 'UA-59933164-1', 'auto'); ga('send', 'pageview'); Chicago Board of Election Commissioners",,,,,,,,,,,,,
,,,,,,,,,,,,,
2020 General Election - 11/3/2020 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
"President & Vice President, U.S. ",,,,,,,,,,,,,
,,,,,,,,,,,,,
Votes,Joseph R. Biden & Kamala D. Harris ,%,Donald J. Trump & Michael R. Pence ,%,Howie Hawkins & Angela Walker ,%,Gloria La Riva & Leonard Peltier ,%,Brian Carroll & Amar Patel ,%,Jo Jorgensen & Jeremy ''Spike'' Cohen ,%,
"959,986","784,206",81.69%,"160,971",16.77%,"5,107",0.53%,"2,263",0.24%,"1,134",0.12%,"6,305",0.66%,
,,,,,,,,,,,,,
Ward 1,,,,,,,,,,,,,
Precinct,Votes,Joseph R. Biden & Kamala D. Harris ,%,Donald J. Trump & Michael R. Pence ,%,Howie Hawkins & Angela Walker ,%,Gloria La Riva & Leonard Peltier ,%,Brian Carroll & Amar Patel ,%,Jo Jorgensen & Jeremy ''Spike'' Cohen ,%
38,586,436,74.40%,143,24.40%,0,0%,0,0%,1,0.17%,6,1.02%
39,423,273,64.54%,142,33.57%,4,0.95%,0,0%,0,0%,4,0.95%
40,875,675,77.14%,187,21.37%,1,0.11%,0,0%,1,0.11%,11,1.26%
41,725,526,72.55%,180,24.83%,4,0.55%,0,0%,1,0.14%,14,1.93%
42,680,513,75.44%,152,22.35%,5,0.74%,0,0%,0,0%,10,1.47%
43,826,611,73.97%,199,24.09%,0,0%,0,0%,1,0.12%,15,1.82%
44,365,279,76.44%,77,21.10%,1,0.27%,0,0%,0,0%,8,2.19%
45,710,562,79.15%,131,18.45%,3,0.42%,3,0.42%,0,0%,11,1.55%
46,359,276,76.88%,73,20.33%,1,0.28%,0,0%,0,0%,9,2.51%
Total,"27,946",22124,79.17%,5316,19.02%,92,0.33%,23,0.08%,16,0.06%,375,1.34%
,,,,,,,,,,,,,
Ward 3,,,,,,,,,,,,,
Precinct,Votes,Joseph R. Biden & Kamala D. Harris ,%,Donald J. Trump & Michael R. Pence ,%,Howie Hawkins & Angela Walker ,%,Gloria La Riva & Leonard Peltier ,%,Brian Carroll & Amar Patel ,%,Jo Jorgensen & Jeremy ''Spike'' Cohen ,%
1,732,702,95.90%,29,3.96%,1,0.14%,0,0%,0,0%,0,0%
2,593,577,97.30%,14,2.36%,0,0%,0,0%,0,0%,2,0.34%
3,483,409,84.68%,71,14.70%,0,0%,2,0.41%,0,0%,1,0.21%
4,590,570,96.61%,12,2.03%,4,0.68%,1,0.17%,2,0.34%,1,0.17%
5,317,288,90.85%,20,6.31%,5,1.58%,3,0.95%,0,0%,1,0.32%
6,762,622,81.63%,125,16.40%,5,0.66%,0,0%,0,0%,10,1.31%
7,356,337,94.66%,17,4.78%,1,0.28%,0,0%,1,0.28%,0,0%
8,443,414,93.45%,20,4.51%,2,0.45%,0,0%,4,0.90%,3,0.68%
9,571,540,94.57%,22,3.85%,3,0.53%,0,0%,0,0%,6,1.05%
10,294,278,94.56%,13,4.42%,1,0.34%,2,0.68%,0,0%,0,0%
11,576,546,94.79%,24,4.17%,1,0.17%,2,0.35%,1,0.17%,2,0.35%
12,531,502,94.54%,21,3.95%,4,0.75%,0,0%,0,0%,4,0.75%
13,636,545,85.69%,86,13.52%,1,0.16%,0,0%,1,0.16%,3,0.47%
14,620,533,85.97%,74,11.94%,2,0.32%,4,0.65%,0,0%,7,1.13%
15,538,511,94.98%,22,4.09%,2,0.37%,1,0.19%,2,0.37%,0,0%
16,424,407,95.99%,15,3.54%,1,0.24%,0,0%,0,0%,1,0.24%
17,795,724,91.07%,63,7.92%,3,0.38%,1,0.13%,1,0.13%,3,0.38%
18,802,737,91.90%,52,6.48%,4,0.50%,5,0.62%,1,0.12%,3,0.37%
19,697,560,80.34%,127,18.22%,2,0.29%,1,0.14%,0,0%,7,1.00%
20,586,555,94.71%,20,3.41%,4,0.68%,3,0.51%,2,0.34%,2,0.34%
21,627,522,83.25%,97,15.47%,1,0.16%,0,0%,0,0%,7,1.12%
22,783,645,82.38%,128,16.35%,1,0.13%,1,0.13%,1,0.13%,7,0.89%
23,492,451,91.67%,37,7.52%,1,0.20%,0,0%,1,0.20%,2,0.41%
24,449,430,95.77%,14,3.12%,2,0.45%,2,0.45%,0,0%,1,0.22%
25,982,802,81.67%,165,16.80%,5,0.51%,0,0%,1,0.10%,9,0.92%
26,668,550,82.34%,108,16.17%,2,0.30%,1,0.15%,0,0%,7,1.05%
27,720,558,77.50%,155,21.53%,1,0.14%,3,0.42%,0,0%,3,0.42%
28,369,339,91.87%,25,6.78%,0,0%,1,0.27%,1,0.27%,3,0.81%
29,608,578,95.07%,22,3.62%,4,0.66%,1,0.16%,0,0%,3,0.49%
30,496,478,96.37%,12,2.42%,4,0.81%,0,0%,1,0.20%,1,0.20%
31,638,611,95.77%,19,2.98%,6,0.94%,2,0.31%,0,0%,0,0%
32,891,758,85.07%,113,12.68%,8,0.90%,0,0%,1,0.11%,11,1.23%
33,692,586,84.68%,95,13.73%,0,0%,0,0%,0,0%,11,1.59%
34,853,744,87.22%,97,11.37%,4,0.47%,0,0%,1,0.12%,7,0.82%
35,290,270,93.10%,16,5.52%,2,0.69%,0,0%,0,0%,2,0.69%
36,279,269,96.42%,6,2.15%,1,0.36%,2,0.72%,0,0%,1,0.36%
37,484,464,95.87%,16,3.31%,1,0.21%,1,0.21%,1,0.21%,1,0.21%
38,414,397,95.89%,14,3.38%,2,0.48%,0,0%,0,0%,1,0.24%
39,"1,109",944,85.12%,154,13.89%,3,0.27%,0,0%,0,0%,8,0.72%
40,611,543,88.87%,58,9.49%,3,0.49%,2,0.33%,1,0.16%,4,0.65%
41,321,285,88.79%,33,10.28%,1,0.31%,1,0.31%,1,0.31%,0,0%
Total,"24,122",21581,89.47%,2231,9.25%,98,0.41%,42,0.17%,25,0.10%,145,0.60%
,,,,,,,,,,,,,
Ward 4,,,,,,,,,,,,,
Precinct,Votes,Joseph R. Biden & Kamala D. Harris ,%,Donald J. Trump & Michael R. Pence ,%,Howie Hawkins & Angela Walker ,%,Gloria La Riva & Leonard Peltier ,%,Brian Carroll & Amar Patel ,%,Jo Jorgensen & Jeremy ''Spike'' Cohen ,%
1,712,661,92.84%,38,5.34%,4,0.56%,3,0.42%,0,0%,6,0.84%
2,710,605,85.21%,90,12.68%,2,0.28%,2,0.28%,0,0%,11,1.55%
3,460,440,95.65%,17,3.70%,3,0.65%,0,0%,0,0%,0,0%
4,728,681,93.54%,38,5.22%,2,0.27%,2,0.27%,2,0.27%,3,0.41%
5,564,537,95.21%,23,4.08%,2,0.35%,2,0.35%,0,0%,0,0%
6,666,610,91.59%,53,7.96%,2,0.30%,1,0.15%,0,0%,0,0%
7,681,646,94.86%,26,3.82%,4,0.59%,2,0.29%,0,0%,3,0.44%
8,614,572,93.16%,26,4.23%,13,2.12%,2,0.33%,1,0.16%,0,0%
9,595,565,94.96%,29,4.87%,0,0%,1,0.17%,0,0%,0,0%
10,672,646,96.13%,16,2.38%,3,0.45%,2,0.30%,1,0.15%,4,0.60%
11,575,550,95.65%,17,2.96%,4,0.70%,2,0.35%,1,0.17%,1,0.17%
12,681,656,96.33%,22,3.23%,2,0.29%,0,0%,1,0.15%,0,0%
13,756,631,83.47%,103,13.62%,4,0.53%,1,0.13%,0,0%,17,2.25%
14,569,531,93.32%,37,6.50%,0,0%,0,0%,0,0%,1,0.18%
15,602,568,94.35%,29,4.82%,5,0.83%,0,0%,0,0%,0,0%
16,943,794,84.20%,137,14.53%,5,0.53%,2,0.21%,0,0%,5,0.53%
17,646,561,86.84%,76,11.76%,2,0.31%,2,0.31%,1,0.15%,4,0.62%
18,543,516,95.03%,20,3.68%,4,0.74%,1,0.18%,0,0%,2,0.37%
19,492,461,93.70%,28,5.69%,1,0.20%,1,0.20%,0,0%,1,0.20%
20,469,390,83.16%,72,15.35%,3,0.64%,0,0%,0,0%,4,0.85%
21,657,565,86.00%,81,12.33%,4,0.61%,2,0.30%,0,0%,5,0.76%
22,524,487,92.94%,29,5.53%,4,0.76%,0,0%,2,0.38%,2,0.38%
23,626,596,95.21%,19,3.04%,5,0.80%,3,0.48%,0,0%,3,0.48%
24,476,447,93.91%,22,4.62%,3,0.63%,2,0.42%,0,0%,2,0.42%
25,749,643,85.85%,94,12.55%,1,0.13%,0,0%,0,0%,11,1.47%
26,518,492,94.98%,22,4.25%,3,0.58%,0,0%,1,0.19%,0,0%
27,692,655,94.65%,28,4.05%,2,0.29%,3,0.43%,1,0.14%,3,0.43%
28,356,329,92.42%,23,6.46%,4,1.12%,0,0%,0,0%,0,0%
29,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
30,782,751,96.04%,26,3.32%,3,0.38%,2,0.26%,0,0%,0,0%
31,527,491,93.17%,28,5.31%,5,0.95%,3,0.57%,0,0%,0,0%
32,600,562,93.67%,26,4.33%,4,0.67%,2,0.33%,2,0.33%,4,0.67%
33,515,487,94.56%,19,3.69%,5,0.97%,2,0.39%,0,0%,2,0.39%
34,491,458,93.28%,22,4.48%,4,0.81%,0,0%,2,0.41%,5,1.02%
35,631,585,92.71%,41,6.50%,4,0.63%,0,0%,0,0%,1,0.16%
36,661,628,95.01%,27,4.08%,6,0.91%,0,0%,0,0%,0,0%
37,"1,014",878,86.59%,124,12.23%,3,0.30%,2,0.20%,0,0%,7,0.69%
38,573,547,95.46%,21,3.66%,2,0.35%,0,0%,1,0.17%,2,0.35%
Total,"23,070",21222,91.99%,1549,6.71%,127,0.55%,47,0.20%,16,0.07%,109,0.47%
,,,,,,,,,,,,,
Ward 5,,,,,,,,,,,,,
Precinct,Votes,Joseph R. Biden & Kamala D. Harris ,%,Donald J. Trump & Michael R. Pence ,%,Howie Hawkins & Angela Walker ,%,Gloria La Riva & Leonard Peltier ,%,Brian Carroll & Amar Patel ,%,Jo Jorgensen & Jeremy ''Spike'' Cohen ,%
1,509,483,94.89%,17,3.34%,3,0.59%,2,0.39%,2,0.39%,2,0.39%
2,416,404,97.12%,10,2.40%,1,0.24%,1,0.24%,0,0%,0,0%
3,541,506,93.53%,20,3.70%,4,0.74%,7,1.29%,0,0%,4,0.74%
4,683,647,94.73%,24,3.51%,7,1.02%,3,0.44%,0,0%,2,0.29%
5,501,475,94.81%,19,3.79%,3,0.60%,1,0.20%,2,0.40%,1,0.20%
6,429,393,91.61%,31,7.23%,4,0.93%,0,0%,1,0.23%,0,0%
7,569,529,92.97%,32,5.62%,4,0.70%,2,0.35%,0,0%,2,0.35%
8,535,503,94.02%,26,4.86%,1,0.19%,1,0.19%,0,0%,4,0.75%
9,639,605,94.68%,25,3.91%,2,0.31%,1,0.16%,2,0.31%,4,0.63%
10,452,434,96.02%,14,3.10%,4,0.88%,0,0%,0,0%,0,0%
11,539,503,93.32%,27,5.01%,4,0.74%,1,0.19%,2,0.37%,2,0.37%
12,360,331,91.94%,23,6.39%,4,1.11%,2,0.56%,0,0%,0,0%
13,481,460,95.63%,15,3.12%,6,1.25%,0,0%,0,0%,0,0%
14,427,413,96.72%,10,2.34%,0,0%,1,0.23%,3,0.70%,0,0%
15,527,493,93.55%,25,4.74%,4,0.76%,2,0.38%,0,0%,3,0.57%
16,518,500,96.53%,13,2.51%,1,0.19%,2,0.39%,2,0.39%,0,0%
17,463,440,95.03%,20,4.32%,1,0.22%,0,0%,1,0.22%,1,0.22%
18,490,466,95.10%,15,3.06%,5,1.02%,1,0.20%,1,0.20%,2,0.41%
19,479,445,92.90%,26,5.43%,6,1.25%,0,0%,1,0.21%,1,0.21%
20,577,542,93.93%,29,5.03%,4,0.69%,1,0.17%,1,0.17%,0,0%
21,522,490,93.87%,25,4.79%,4,0.77%,2,0.38%,0,0%,1,0.19%
22,608,568,93.42%,31,5.10%,5,0.82%,2,0.33%,0,0%,2,0.33%
23,921,856,92.94%,55,5.97%,2,0.22%,0,0%,3,0.33%,5,0.54%
24,644,606,94.10%,31,4.81%,3,0.47%,0,0%,1,0.16%,3,0.47%
25,487,462,94.87%,17,3.49%,6,1.23%,1,0.21%,0,0%,1,0.21%
26,524,495,94.47%,26,4.96%,2,0.38%,1,0.19%,0,0%,0,0%
27,551,498,90.38%,39,7.08%,5,0.91%,2,0.36%,0,0%,7,1.27%
28,552,518,93.84%,27,4.89%,6,1.09%,1,0.18%,0,0%,0,0%
29,562,539,95.91%,18,3.20%,1,0.18%,2,0.36%,0,0%,2,0.36%
30,353,336,95.18%,13,3.68%,0,0%,4,1.13%,0,0%,0,0%
31,418,398,95.22%,17,4.07%,0,0%,2,0.48%,0,0%,1,0.24%
32,576,547,94.97%,20,3.47%,5,0.87%,2,0.35%,1,0.17%,1,0.17%
33,589,574,97.45%,12,2.04%,2,0.34%,0,0%,0,0%,1,0.17%
34,556,519,93.35%,30,5.40%,0,0%,1,0.18%,1,0.18%,5,0.90%
35,657,616,93.76%,31,4.72%,6,0.91%,2,0.30%,0,0%,2,0.30%
36,358,339,94.69%,15,4.19%,2,0.56%,2,0.56%,0,0%,0,0%
37,523,488,93.31%,26,4.97%,4,0.76%,3,0.57%,0,0%,2,0.38%
38,522,499,95.59%,18,3.45%,3,0.57%,1,0.19%,0,0%,1,0.19%
39,433,394,90.99%,35,8.08%,0,0%,2,0.46%,0,0%,2,0.46%
40,423,390,92.20%,22,5.20%,4,0.95%,3,0.71%,1,0.24%,3,0.71%
41,253,244,96.44%,8,3.16%,0,0%,0,0%,0,0%,1,0.40%
Total,"21,167",19948,94.24%,937,4.43%,128,0.60%,61,0.29%,25,0.12%,68,0.32%
,,,,,,,,,,,,,
Ward 6,,,,,,,,,,,,,
Precinct,Votes,Joseph R. Biden & Kamala D. Harris ,%,Donald J. Trump & Michael R. Pence ,%,Howie Hawkins & Angela Walker ,%,Gloria La Riva & Leonard Peltier ,%,Brian Carroll & Amar Patel ,%,Jo Jorgensen & Jeremy ''Spike'' Cohen ,%
1,437,424,97.03%,13,2.97%,0,0%,0,0%,0,0%,0,0%
2,427,408,95.55%,16,3.75%,2,0.47%,1,0.23%,0,0%,0,0%
3,458,442,96.51%,15,3.28%,1,0.22%,0,0%,0,0%,0,0%
4,338,320,94.67%,13,3.85%,3,0.89%,1,0.30%,1,0.30%,0,0%
5,307,290,94.46%,15,4.89%,2,0.65%,0,0%,0,0%,0,0%
6,482,463,96.06%,14,2.90%,4,0.83%,0,0%,0,0%,1,0.21%
7,431,414,96.06%,14,3.25%,0,0%,2,0.46%,0,0%,1,0.23%
8,425,416,97.88%,7,1.65%,1,0.24%,0,0%,0,0%,1,0.24%
9,435,417,95.86%,12,2.76%,1,0.23%,1,0.23%,1,0.23%,3,0.69%
10,336,318,94.64%,13,3.87%,5,1.49%,0,0%,0,0%,0,0%
11,357,340,95.24%,17,4.76%,0,0%,0,0%,0,0%,0,0%
12,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
13,321,308,95.95%,9,2.80%,2,0.62%,2,0.62%,0,0%,0,0%
14,398,384,96.48%,11,2.76%,1,0.25%,0,0%,2,0.50%,0,0%
15,369,347,94.04%,19,5.15%,1,0.27%,1,0.27%,1,0.27%,0,0%
16,451,432,95.79%,14,3.10%,4,0.89%,0,0%,0,0%,1,0.22%
17,320,296,92.50%,20,6.25%,2,0.63%,1,0.31%,1,0.31%,0,0%
18,279,269,96.42%,5,1.79%,3,1.08%,1,0.36%,0,0%,1,0.36%
19,370,355,95.95%,12,3.24%,2,0.54%,0,0%,1,0.27%,0,0%
20,271,261,96.31%,8,2.95%,1,0.37%,0,0%,0,0%,1,0.37%
21,230,214,93.04%,11,4.78%,1,0.43%,1,0.43%,3,1.30%,0,0%
22,286,266,93.01%,17,5.94%,1,0.35%,0,0%,2,0.70%,0,0%
23,260,243,93.46%,13,5.00%,2,0.77%,0,0%,1,0.38%,1,0.38%
24,233,215,92.27%,13,5.58%,1,0.43%,2,0.86%,1,0.43%,1,0.43%
25,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
26,348,324,93.10%,15,4.31%,3,0.86%,3,0.86%,2,0.57%,1,0.29%
27,266,251,94.36%,11,4.14%,1,0.38%,2,0.75%,1,0.38%,0,0%
28,212,201,94.81%,9,4.25%,0,0%,1,0.47%,1,0.47%,0,0%
29,416,397,95.43%,14,3.37%,2,0.48%,1,0.24%,0,0%,2,0.48%
30,366,343,93.72%,16,4.37%,2,0.55%,1,0.27%,0,0%,4,1.09%
31,395,380,96.20%,12,3.04%,0,0%,1,0.25%,0,0%,2,0.51%
32,408,388,95.10%,18,4.41%,1,0.25%,0,0%,1,0.25%,0,0%
33,407,378,92.87%,25,6.14%,3,0.74%,1,0.25%,0,0%,0,0%
34,420,415,98.81%,4,0.95%,1,0.24%,0,0%,0,0%,0,0%
35,392,372,94.90%,16,4.08%,1,0.26%,1,0.26%,1,0.26%,1,0.26%
36,462,449,97.19%,10,2.16%,2,0.43%,1,0.22%,0,0%,0,0%
37,433,406,93.76%,22,5.08%,3,0.69%,0,0%,1,0.23%,1,0.23%
38,443,426,96.16%,11,2.48%,4,0.90%,2,0.45%,0,0%,0,0%
39,364,351,96.43%,12,3.30%,0,0%,0,0%,1,0.27%,0,0%
40,387,375,96.90%,11,2.84%,0,0%,1,0.26%,0,0%,0,0%
41,336,322,95.83%,13,3.87%,0,0%,0,0%,0,0%,1,0.30%
42,443,422,95.26%,13,2.93%,3,0.68%,2,0.45%,0,0%,3,0.68%
43,406,386,95.07%,13,3.20%,3,0.74%,3,0.74%,0,0%,1,0.25%
44,502,481,95.82%,20,3.98%,0,0%,0,0%,1,0.20%,0,0%
45,404,392,97.03%,10,2.48%,1,0.25%,0,0%,0,0%,1,0.25%
46,301,294,97.67%,5,1.66%,0,0%,0,0%,1,0.33%,1,0.33%
47,326,312,95.71%,10,3.07%,2,0.61%,0,0%,1,0.31%,1,0.31%
48,425,408,96.00%,14,3.29%,3,0.71%,0,0%,0,0%,0,0%
Total,"17,083",16315,95.50%,605,3.54%,75,0.44%,33,0.19%,25,0.15%,30,0.18%
,,,,,,,,,,,,,
Ward 7,,,,,,,,,,,,,
Precinct,Votes,Joseph R. Biden & Kamala D. Harris ,%,Donald J. Trump & Michael R. Pence ,%,Howie Hawkins & Angela Walker ,%,Gloria La Riva & Leonard Peltier ,%,Brian Carroll & Amar Patel ,%,Jo Jorgensen & Jeremy ''Spike'' Cohen ,%
1,445,423,95.06%,17,3.82%,1,0.22%,1,0.22%,0,0%,3,0.67%
2,446,416,93.27%,23,5.16%,4,0.90%,2,0.45%,1,0.22%,0,0%
3,412,397,96.36%,12,2.91%,0,0%,2,0.49%,1,0.24%,0,0%
4,395,382,96.71%,9,2.28%,1,0.25%,0,0%,1,0.25%,2,0.51%
5,366,337,92.08%,24,6.56%,2,0.55%,0,0%,0,0%,3,0.82%
6,527,502,95.26%,18,3.42%,4,0.76%,2,0.38%,0,0%,1,0.19%
7,419,396,94.51%,20,4.77%,1,0.24%,1,0.24%,1,0.24%,0,0%
8,290,274,94.48%,13,4.48%,2,0.69%,0,0%,0,0%,1,0.34%
9,690,647,93.77%,36,5.22%,2,0.29%,3,0.43%,1,0.14%,1,0.14%
10,437,423,96.80%,9,2.06%,2,0.46%,1,0.23%,0,0%,2,0.46%
11,476,456,95.80%,15,3.15%,2,0.42%,2,0.42%,0,0%,1,0.21%
12,426,398,93.43%,21,4.93%,5,1.17%,0,0%,1,0.23%,1,0.23%
13,249,239,95.98%,8,3.21%,1,0.40%,1,0.40%,0,0%,0,0%
14,482,451,93.57%,26,5.39%,1,0.21%,2,0.41%,2,0.41%,0,0%
15,372,365,98.12%,5,1.34%,1,0.27%,1,0.27%,0,0%,0,0%
16,407,372,91.40%,28,6.88%,4,0.98%,2,0.49%,1,0.25%,0,0%
17,339,323,95.28%,14,4.13%,0,0%,1,0.29%,1,0.29%,0,0%
18,370,342,92.43%,22,5.95%,5,1.35%,1,0.27%,0,0%,0,0%
19,388,370,95.36%,13,3.35%,1,0.26%,3,0.77%,0,0%,1,0.26%
20,329,314,95.44%,11,3.34%,4,1.22%,0,0%,0,0%,0,0%
21,319,295,92.48%,18,5.64%,4,1.25%,0,0%,1,0.31%,1,0.31%
22,309,294,95.15%,13,4.21%,2,0.65%,0,0%,0,0%,0,0%
23,381,370,97.11%,10,2.62%,0,0%,0,0%,1,0.26%,0,0%
24,345,325,94.20%,16,4.64%,1,0.29%,1,0.29%,2,0.58%,0,0%
25,360,318,88.33%,34,9.44%,3,0.83%,2,0.56%,3,0.83%,0,0%
26,313,294,93.93%,16,5.11%,1,0.32%,2,0.64%,0,0%,0,0%
27,337,327,97.03%,4,1.19%,3,0.89%,0,0%,0,0%,3,0.89%
28,324,298,91.98%,20,6.17%,4,1.23%,1,0.31%,0,0%,1,0.31%
29,363,344,94.77%,15,4.13%,3,0.83%,0,0%,0,0%,1,0.28%
30,330,306,92.73%,21,6.36%,1,0.30%,0,0%,1,0.30%,1,0.30%
31,303,271,89.44%,27,8.91%,2,0.66%,1,0.33%,1,0.33%,1,0.33%
32,492,471,95.73%,19,3.86%,1,0.20%,1,0.20%,0,0%,0,0%
33,492,474,96.34%,15,3.05%,2,0.41%,1,0.20%,0,0%,0,0%
34,472,452,95.76%,14,2.97%,5,1.06%,1,0.21%,0,0%,0,0%
35,443,418,94.36%,20,4.51%,2,0.45%,2,0.45%,0,0%,1,0.23%
36,487,466,95.69%,18,3.70%,2,0.41%,1,0.21%,0,0%,0,0%
37,424,398,93.87%,22,5.19%,3,0.71%,1,0.24%,0,0%,0,0%
38,350,338,96.57%,9,2.57%,1,0.29%,1,0.29%,0,0%,1,0.29%
39,366,358,97.81%,7,1.91%,1,0.27%,0,0%,0,0%,0,0%
40,338,327,96.75%,7,2.07%,2,0.59%,0,0%,0,0%,2,0.59%
41,381,367,96.33%,10,2.62%,1,0.26%,0,0%,1,0.26%,2,0.52%
42,369,361,97.83%,7,1.90%,0,0%,0,0%,1,0.27%,0,0%
43,383,366,95.56%,15,3.92%,1,0.26%,0,0%,0,0%,1,0.26%
44,352,335,95.17%,11,3.13%,2,0.57%,2,0.57%,2,0.57%,0,0%
45,449,424,94.43%,19,4.23%,0,0%,0,0%,5,1.11%,1,0.22%
46,168,160,95.24%,5,2.98%,2,1.19%,1,0.60%,0,0%,0,0%
Total,"17,915",16984,94.80%,736,4.11%,92,0.51%,43,0.24%,28,0.16%,32,0.18%
,,,,,,,,,,,,,
Ward 8,,,,,,,,,,,,,
Precinct,Votes,Joseph R. Biden & Kamala D. Harris ,%,Donald J. Trump & Michael R. Pence ,%,Howie Hawkins & Angela Walker ,%,Gloria La Riva & Leonard Peltier ,%,Brian Carroll & Amar Patel ,%,Jo Jorgensen & Jeremy ''Spike'' Cohen ,%
1,308,292,94.81%,10,3.25%,4,1.30%,1,0.32%,0,0%,1,0.32%
2,393,375,95.42%,15,3.82%,0,0%,0,0%,3,0.76%,0,0%
3,448,437,97.54%,7,1.56%,3,0.67%,0,0%,1,0.22%,0,0%
4,441,431,97.73%,7,1.59%,2,0.45%,0,0%,0,0%,1,0.23%
5,412,399,96.84%,7,1.70%,4,0.97%,2,0.49%,0,0%,0,0%
6,397,377,94.96%,17,4.28%,2,0.50%,1,0.25%,0,0%,0,0%
7,459,432,94.12%,25,5.45%,0,0%,1,0.22%,1,0.22%,0,0%
8,397,381,95.97%,13,3.27%,1,0.25%,0,0%,0,0%,2,0.50%
9,262,253,96.56%,9,3.44%,0,0%,0,0%,0,0%,0,0%
10,496,475,95.77%,17,3.43%,2,0.40%,1,0.20%,0,0%,1,0.20%
11,341,322,94.43%,13,3.81%,3,0.88%,1,0.29%,2,0.59%,0,0%
12,377,356,94.43%,19,5.04%,0,0%,1,0.27%,1,0.27%,0,0%
13,481,459,95.43%,16,3.33%,4,0.83%,0,0%,0,0%,2,0.42%
14,381,360,94.49%,15,3.94%,1,0.26%,3,0.79%,0,0%,2,0.52%
15,406,383,94.33%,16,3.94%,3,0.74%,1,0.25%,0,0%,3,0.74%
16,143,133,93.01%,9,6.29%,1,0.70%,0,0%,0,0%,0,0%
17,357,344,96.36%,7,1.96%,3,0.84%,1,0.28%,1,0.28%,1,0.28%
18,412,387,93.93%,24,5.83%,1,0.24%,0,0%,0,0%,0,0%
19,441,423,95.92%,16,3.63%,2,0.45%,0,0%,0,0%,0,0%
20,474,457,96.41%,12,2.53%,1,0.21%,3,0.63%,0,0%,1,0.21%
21,535,514,96.07%,18,3.36%,2,0.37%,0,0%,0,0%,1,0.19%
22,379,357,94.20%,15,3.96%,3,0.79%,3,0.79%,0,0%,1,0.26%
23,360,348,96.67%,10,2.78%,1,0.28%,0,0%,1,0.28%,0,0%
24,245,235,95.92%,7,2.86%,2,0.82%,0,0%,1,0.41%,0,0%
25,428,400,93.46%,24,5.61%,0,0%,2,0.47%,2,0.47%,0,0%
26,402,387,96.27%,11,2.74%,1,0.25%,1,0.25%,0,0%,2,0.50%
27,468,444,94.87%,21,4.49%,2,0.43%,0,0%,1,0.21%,0,0%
28,389,372,95.63%,15,3.86%,1,0.26%,1,0.26%,0,0%,0,0%
29,449,428,95.32%,14,3.12%,5,1.11%,1,0.22%,0,0%,1,0.22%
30,449,429,95.55%,14,3.12%,4,0.89%,0,0%,0,0%,2,0.45%
31,333,316,94.89%,14,4.20%,1,0.30%,1,0.30%,0,0%,1,0.30%
32,336,324,96.43%,9,2.68%,1,0.30%,1,0.30%,0,0%,1,0.30%
33,349,333,95.42%,12,3.44%,2,0.57%,1,0.29%,1,0.29%,0,0%
34,399,388,97.24%,10,2.51%,0,0%,1,0.25%,0,0%,0,0%
35,478,457,95.61%,14,2.93%,4,0.84%,0,0%,0,0%,3,0.63%
36,413,400,96.85%,8,1.94%,1,0.24%,2,0.48%,1,0.24%,1,0.24%
37,317,308,97.16%,6,1.89%,2,0.63%,1,0.32%,0,0%,0,0%
38,321,316,98.44%,4,1.25%,0,0%,0,0%,1,0.31%,0,0%
39,424,411,96.93%,7,1.65%,4,0.94%,1,0.24%,0,0%,1,0.24%
40,351,341,97.15%,9,2.56%,0,0%,0,0%,0,0%,1,0.28%
41,466,447,95.92%,15,3.22%,3,0.64%,0,0%,1,0.21%,0,0%
42,543,523,96.32%,16,2.95%,2,0.37%,0,0%,0,0%,2,0.37%
43,246,227,92.28%,15,6.10%,2,0.81%,2,0.81%,0,0%,0,0%
44,328,313,95.43%,10,3.05%,1,0.30%,1,0.30%,1,0.30%,2,0.61%
45,380,362,95.26%,12,3.16%,5,1.32%,0,0%,0,0%,1,0.26%
46,341,320,93.84%,17,4.99%,1,0.29%,3,0.88%,0,0%,0,0%
47,358,338,94.41%,18,5.03%,1,0.28%,0,0%,0,0%,1,0.28%
48,397,384,96.73%,9,2.27%,2,0.50%,1,0.25%,1,0.25%,0,0%
49,383,370,96.61%,12,3.13%,1,0.26%,0,0%,0,0%,0,0%
50,423,404,95.51%,13,3.07%,4,0.95%,1,0.24%,1,0.24%,0,0%
51,435,419,96.32%,14,3.22%,1,0.23%,0,0%,0,0%,1,0.23%
52,510,497,97.45%,11,2.16%,1,0.20%,0,0%,0,0%,1,0.20%
53,246,233,94.72%,9,3.66%,3,1.22%,1,0.41%,0,0%,0,0%
54,373,337,90.35%,27,7.24%,4,1.07%,2,0.54%,2,0.54%,1,0.27%
55,344,325,94.48%,16,4.65%,0,0%,3,0.87%,0,0%,0,0%
