"(function(i,s,o,g,r,a,m){i['GoogleAnalyticsObject']=r;i[r]=i[r]||function(){ (i[r].q=i[r].q||[]).push(arguments)},i[r].l=1*new Date();a=s.createElement(o), m=s.getElementsByTagName(o)[0];a.async=1;a.src=g;m.parentNode.insertBefore(a,m) })(window,document,'script','//www.google-analytics.com/analytics.js','ga'); ga('create', 'UA-59933164-1', 'auto'); ga('send', 'pageview'); Chicago Board of Election Commissioners",,,,,,,,,,,,,
,,,,,,,,,,,,,
2020 General Election - 11/3/2020 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
"President & Vice President, U.S. ",,,,,,,,,,,,,
,,,,,,,,,,,,,
Votes,Joseph R. Biden & Kamala D. Harris ,%,Donald J. Trump & Michael R. Pence ,%,Howie Hawkins & Angela Walker ,%,Gloria La Riva & Leonard Peltier ,%,Brian Carroll & Amar Patel ,%,Jo Jorgensen & Jeremy ''Spike'' Cohen ,%,
"959,986","784,206",81.69%,"160,971",16.77%,"5,107",0.53%,"2,263",0.24%,"1,134",0.12%,"6,305",0.66%,
,,,,,,,,,,,,,
Ward 1,,,,,,,,,,,,,
Precinct,Votes,Joseph R. Biden & Kamala D. Harris ,%,Donald J. Trump & Michael R. Pence ,%,Howie Hawkins & Angela Walker ,%,Gloria La Riva & Leonard Peltier ,%,Brian Carroll & Amar Patel ,%,Jo Jorgensen & Jeremy ''Spike'' Cohen ,%
6,451,406,90.02%,37,8.20%,1,0.22%,2,0.44%,0,0%,5,1.11%
7,450,385,85.56%,56,12.44%,2,0.44%,3,0.67%,0,0%,4,0.89%
8,496,438,88.31%,54,10.89%,1,0.20%,1,0.20%,0,0%,2,0.40%
9,522,463,88.70%,48,9.20%,2,0.38%,1,0.19%,2,0.38%,6,1.15%
10,580,506,87.24%,68,11.72%,4,0.69%,0,0%,1,0.17%,1,0.17%
11,666,616,92.49%,36,5.41%,6,0.90%,4,0.60%,0,0%,4,0.60%
12,645,568,88.06%,61,9.46%,5,0.78%,2,0.31%,2,0.31%,7,1.09%
13,644,563,87.42%,69,10.71%,5,0.78%,2,0.31%,1,0.16%,4,0.62%
14,402,353,87.81%,44,10.95%,2,0.50%,2,0.50%,0,0%,1,0.25%
15,404,359,88.86%,39,9.65%,3,0.74%,1,0.25%,1,0.25%,1,0.25%
16,427,368,86.18%,48,11.24%,5,1.17%,1,0.23%,1,0.23%,4,0.94%
17,486,386,79.42%,91,18.72%,5,1.03%,0,0%,2,0.41%,2,0.41%
18,643,584,90.82%,46,7.15%,6,0.93%,2,0.31%,3,0.47%,2,0.31%
19,527,481,91.27%,39,7.40%,1,0.19%,0,0%,1,0.19%,5,0.95%
20,811,734,90.51%,66,8.14%,6,0.74%,3,0.37%,0,0%,2,0.25%
21,330,291,88.18%,37,11.21%,0,0%,0,0%,1,0.30%,1,0.30%
22,550,474,86.18%,61,11.09%,3,0.55%,2,0.36%,3,0.55%,7,1.27%
23,716,621,86.73%,74,10.34%,7,0.98%,2,0.28%,2,0.28%,10,1.40%
24,435,392,90.11%,33,7.59%,6,1.38%,1,0.23%,1,0.23%,2,0.46%
25,658,570,86.63%,67,10.18%,5,0.76%,6,0.91%,2,0.30%,8,1.22%
26,657,556,84.63%,93,14.16%,6,0.91%,1,0.15%,0,0%,1,0.15%
27,625,553,88.48%,56,8.96%,5,0.80%,4,0.64%,2,0.32%,5,0.80%
28,707,630,89.11%,59,8.35%,5,0.71%,6,0.85%,2,0.28%,5,0.71%
29,624,549,87.98%,61,9.78%,6,0.96%,5,0.80%,0,0%,3,0.48%
30,542,464,85.61%,65,11.99%,5,0.92%,3,0.55%,0,0%,5,0.92%
31,395,345,87.34%,45,11.39%,2,0.51%,1,0.25%,0,0%,2,0.51%
32,524,471,89.89%,42,8.02%,4,0.76%,5,0.95%,1,0.19%,1,0.19%
33,440,399,90.68%,35,7.95%,1,0.23%,2,0.45%,1,0.23%,2,0.45%
Total,"17,900",15824,88.40%,1722,9.62%,135,0.75%,72,0.40%,32,0.18%,115,0.64%
,,,,,,,,,,,,,
Ward 50,,,,,,,,,,,,,
Precinct,Votes,Joseph R. Biden & Kamala D. Harris ,%,Donald J. Trump & Michael R. Pence ,%,Howie Hawkins & Angela Walker ,%,Gloria La Riva & Leonard Peltier ,%,Brian Carroll & Amar Patel ,%,Jo Jorgensen & Jeremy ''Spike'' Cohen ,%
1,438,209,47.72%,222,50.68%,3,0.68%,1,0.23%,0,0%,3,0.68%
2,300,164,54.67%,132,44.00%,2,0.67%,0,0%,1,0.33%,1,0.33%
3,428,215,50.23%,210,49.07%,0,0%,0,0%,1,0.23%,2,0.47%
4,523,358,68.45%,155,29.64%,2,0.38%,0,0%,2,0.38%,6,1.15%
5,352,132,37.50%,216,61.36%,1,0.28%,1,0.28%,0,0%,2,0.57%
6,463,331,71.49%,123,26.57%,3,0.65%,1,0.22%,0,0%,5,1.08%
7,494,425,86.03%,61,12.35%,3,0.61%,0,0%,0,0%,5,1.01%
8,462,382,82.68%,73,15.80%,1,0.22%,2,0.43%,2,0.43%,2,0.43%
9,388,257,66.24%,123,31.70%,2,0.52%,1,0.26%,1,0.26%,4,1.03%
10,552,261,47.28%,285,51.63%,2,0.36%,0,0%,2,0.36%,2,0.36%
11,339,85,25.07%,251,74.04%,2,0.59%,0,0%,0,0%,1,0.29%
12,236,127,53.81%,105,44.49%,0,0%,0,0%,0,0%,4,1.69%
13,546,443,81.14%,93,17.03%,6,1.10%,1,0.18%,0,0%,3,0.55%
14,181,85,46.96%,95,52.49%,1,0.55%,0,0%,0,0%,0,0%
15,522,424,81.23%,96,18.39%,1,0.19%,0,0%,0,0%,1,0.19%
16,171,85,49.71%,85,49.71%,1,0.58%,0,0%,0,0%,0,0%
17,541,329,60.81%,211,39.00%,0,0%,0,0%,0,0%,1,0.18%
18,86,33,38.37%,51,59.30%,1,1.16%,0,0%,0,0%,1,1.16%
19,393,303,77.10%,80,20.36%,6,1.53%,1,0.25%,1,0.25%,2,0.51%
20,487,365,74.95%,114,23.41%,4,0.82%,1,0.21%,1,0.21%,2,0.41%
21,432,311,71.99%,118,27.31%,2,0.46%,0,0%,0,0%,1,0.23%
22,460,255,55.43%,197,42.83%,4,0.87%,1,0.22%,0,0%,3,0.65%
23,372,214,57.53%,153,41.13%,0,0%,1,0.27%,1,0.27%,3,0.81%
24,448,129,28.79%,316,70.54%,2,0.45%,0,0%,0,0%,1,0.22%
25,517,206,39.85%,311,60.15%,0,0%,0,0%,0,0%,0,0%
26,542,336,61.99%,200,36.90%,3,0.55%,2,0.37%,0,0%,1,0.18%
27,199,107,53.77%,91,45.73%,1,0.50%,0,0%,0,0%,0,0%
28,537,403,75.05%,127,23.65%,5,0.93%,1,0.19%,0,0%,1,0.19%
29,492,375,76.22%,113,22.97%,1,0.20%,1,0.20%,1,0.20%,1,0.20%
30,374,310,82.89%,59,15.78%,1,0.27%,0,0%,2,0.53%,2,0.53%
31,627,522,83.25%,95,15.15%,5,0.80%,0,0%,0,0%,5,0.80%
32,565,470,83.19%,83,14.69%,4,0.71%,1,0.18%,2,0.35%,5,0.88%
33,376,144,38.30%,227,60.37%,0,0%,0,0%,0,0%,5,1.33%
34,638,406,63.64%,222,34.80%,2,0.31%,3,0.47%,0,0%,5,0.78%
35,589,489,83.02%,90,15.28%,4,0.68%,2,0.34%,0,0%,4,0.68%
36,475,365,76.84%,105,22.11%,0,0%,1,0.21%,1,0.21%,3,0.63%
37,468,385,82.26%,79,16.88%,3,0.64%,0,0%,0,0%,1,0.21%
38,210,123,58.57%,85,40.48%,2,0.95%,0,0%,0,0%,0,0%
39,337,166,49.26%,169,50.15%,1,0.30%,0,0%,0,0%,1,0.30%
40,479,127,26.51%,346,72.23%,3,0.63%,0,0%,1,0.21%,2,0.42%
Total,"17,039",10856,63.71%,5967,35.02%,84,0.49%,22,0.13%,19,0.11%,91,0.53%
